pageNumber,jobId,title,companyName,groupId,companyId,isTopGroup,tagsAndSkills,jobDescription,location,salaryLabel,currency,minimumSalary,maximumSalary,hideSalary,variablePercentage,minSalaryPerMonth,maxSalaryPerMonth,experienceText,minimumExperience,maximumExperience,footerPlaceholderLabel,createdDateISO,createdDateRaw,mode,board,vacancy,jobType,walkinJob,walkin_contactName,walkin_contactPhone,walkin_dailyTiming,walkin_venueAddress,walkin_startDate,walkin_endDate,companyApplyJob,companyApplyUrl,applyRedirectUrl,applyByTime,jdURL,staticUrl,ambitionBoxUrl,ambitionBoxReviewsCount,ambitionBoxRating,roleCategoryGid,todaysJob,jobAgentEligle,consultant,hiringFor,hideClientName,clientTitleString,brandedJDTemplateId,questionnaireIdPresent,exclusive,diversityTagText,logoPath
753,240726929545,Product Lead - React - .Net Core - TST - Manager,EY,243080,294153,0,"accounting,container,analytics platforms,ci/cd pipelines,ai,capital markets,analytics,cloud","Experience in Financial services or Payments domains is preferred,as well as modern engineering practices such as microservices,eventdriven architectures,and CI / CD automation,is essential.  <br><br>Contribute to cloud engineering initiatives (Azure preferred),including containerization and orchestration.",Noida,Not disclosed,INR,0,0,true,0,0,0,9-10 Yrs,9,10,30 Days Ago,2026-07-24T12:35:22.382Z,1784896522382,jp,1,,,false,,,,,,,false,,,10:05 PM,https://www.naukri.com/job-listings-product-lead-react-net-core-tst-manager-ernst-young-llp-noida-9-to-10-years-240726929545,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1028,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929541,Analyst - TAX - National - TAX - Indirect Tax - Core,EY,243080,294153,0,"administration,data analytics,business requirements,business tax,ai,classification,alteryx,analytics","Qualification & Experience . B Com/ BBA/ MBA/ CA inter 0-2 years of relevant experience in indirect tax,customs,global trade,or tax technology consultingin consulting / Big 4 environment preferred<br><br>We combine our exceptional knowledge and experience with the people and technology platforms to equip clients in making better business decisions by bringing insights to the forefront",Pune,Not disclosed,INR,0,0,true,0,0,0,0-5 Yrs,0,5,30 Days Ago,2026-07-24T12:35:19.761Z,1784896519761,jp,1,,,false,,,,,,,false,,,10:05 PM,https://www.naukri.com/job-listings-analyst-tax-national-tax-indirect-tax-core-ernst-young-llp-pune-0-to-5-years-240726929541,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1029,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929519,RC - REGULATORY COMPLIANCE - AI - Senior Professional,EY,243080,294153,0,"ai,capa,ai solutions,csv,anomaly detection,business development,classification,capital markets","<b>EY- GDS Consulting Enterprise Risk (ER) Regulatory Compliance Senior GxP AI/Model Evaluation Consultant</b><p>As part of our EY-ER- Regulatory Compliance team, you will help the clients by understanding their business needs and delivering solutions in accordance with the EY guidelines & methodologies. As a Regulatory Compliance senior actively establish, maintain and strengthen internal and external relationships. In line with our commitment to quality, youll consistently drive projects to completion with high quality deliverables, achieve operational efficiency, proactively identify and raise risks with the client as well as EY senior management team and lead internal initiatives.</p><b>The opportunity</b><p>We are seeking a highly experienced and detailoriented AI Model Evaluation Consultant with strong expertise in validating AI/ML models, Generative AI (GenAI) systems, and multiagent workflows within GxPregulated and qualitycritical environments. The ideal candidate will ensure the reliability, fairness, robustness, and regulatory compliance of AI solutions while supporting crossfunctional teams in designing, testing, and maintaining productionready, inspectionready AI systems.</p><p>This role is responsible for leading AI model evaluation and validation activities across the full model lifecycle, including model development, training, testing, deployment, and postdeployment monitoring, in alignment with GxP principles, riskbased validation, and data integrity expectations. The consultant will play a key role in embedding Responsible AI, qualitybydesign, and governancebydesign practices, enabling the safe, trustworthy, and explainable use of AI and agentbased solutions in regulated life sciences and pharmaceutical contexts.</p><b>Your key responsibilities</b><ul><li>Support development of AI/ML and Agentic AI strategies by providing analysis, validation insights, and readiness assessments.</li><li>Perform AI/ML model evaluation and validation across development, training, testing, and deployment phases.</li><li>Evaluate model performance using precision, recall, accuracy, F1score, and confusion matrices.</li><li>Assess model behavior across datasets, edge cases, and failure scenarios to identify bias, drift, and instability.</li><li>Demonstrate strong understanding of supervised and unsupervised learning models, including classification, regression, clustering, and anomaly detection.</li><li>Conduct handson evaluation of GenAI and LLMbased systems, including prompt behavior, response quality, and consistency.</li><li>Design and execute testing strategies for AI agents and multiagent workflows, covering orchestration logic, tool invocation, and output validation.</li><li>Use LangChain, LangGraph, and Langfuse for agent workflows, observability, traceability, and evaluation logging.</li><li>Collaborate with data scientists and engineers to identify model improvement opportunities and risk mitigations.</li><li>Document evaluation results, limitations, risks, and acceptance criteria in a clear, auditready manner.</li></ul><b>Qualifications:</b><ul><li>Bachelors or masters degree in Life Sciences, Engineering, or related field.</li><li>5+ years of experience in AI/ML, GenAI, software testing, validation, or quality engineering roles.</li><li>Experience creating user stories, test scripts, validation plans, or AI solution prototypes.</li><li>Exposure to cloud ecosystems such as Azure, AWS, or GCP.</li><li>Consulting or clientfacing experience preferred.</li><li>Excellent communication, documentation, and stakeholder management skills.</li></ul><b>Must-Have Skills And Attributes</b><ul><li>Strong understanding of ML models, LLMs, GenAI workflows, agentic systems, and evaluation techniques.</li><li>Strong foundation in machine learning concepts and model evaluation techniques.</li><li>Handson experience with: Precision, Recall, Confusion Matrix, ROC/AUC, Supervised and Unsupervised ML models</li><li>Practical experience with LangChain, LangGraph, and Langfuse.</li><li>Experience evaluating GenAI / LLMbased applications and agents.</li><li>Strong documentation, analytical, and stakeholder communication skills.</li><li>Experience designing test cases, user stories, and acceptance criteria for AI/MLbased systems.</li><li>Ability to validate AI outputs, evaluate accuracy, detect bias, and assess model reliability under varied conditions.</li><li>Handson skills in building prototypes, test harnesses, and demo environments.</li><li>Strong stakeholder management, analytical thinking, and structured communication skills.</li><li>Familiarity with version control, prompt engineering fundamentals, and AIassisted testing tools is preferred.</li><li>Strong knowledge of GxP regulations (FDA 21 CFR Part 11, EU Annex 11)</li><li>GAMP 5 methodology and system development life cycle (SDLC)</li><li>CSV documentation: URS, FRS, IQ/OQ/PQ, Traceability Matrix, Validation Plans</li><li>Understanding of data integrity principles and electronic records/e-signatures compliance</li><li>Ability to collaborate with cross-functional teams (QA, IT, Manufacturing, Labs)</li><li>Experience in client-facing roles, managing expectations and delivering solutions</li><li>Strong communication and presentation skills</li><li>Experience in IT project management and validation planning</li><li>Ability to troubleshoot application issues and recommend solutions</li><li>Familiarity with change control, deviation handling, and CAPA processes</li><li>Proven ability to mentor junior staff and lead validation teams</li><li>Experience in training and cross-skilling resources</li><li>Strong teamwork and collaboration mindset</li></ul><b>Good-to-Have Skills And Attributes</b><ul><li>Exposure to business development activities and client engagement strategies</li><li>Ability to create innovative insights and contribute to thought leadership</li><li>Understanding of market trends and competitor landscape</li><li>Experience in process optimization and operational efficiency initiatives</li><li>Ability to align technology with business transformation goals</li><li>High attention to detail and analytical thinking</li><li>Adaptability to changing regulatory and business environments</li><li>Strong problem-solving</li></ul>",Pune,Not disclosed,INR,0,0,true,0,0,0,3-7 Yrs,3,7,30 Days Ago,2026-07-24T12:35:05.592Z,1784896505592,jp,1,,,false,,,,,,,false,,,10:05 PM,https://www.naukri.com/job-listings-rc-regulatory-compliance-ai-senior-professional-ernst-young-llp-pune-3-to-7-years-240726929519,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1028,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929516,SAP BTP - Manager,EY,243080,294153,0,"accounting,core data,finance and accounting,ai,badi,cloud connector,analytical skills,capital markets","Ideal Candidate Profile . Bachelors degree in Engineering (BE / BTech),MCA,or equivalent with 7-11 years of relevant industry experience<br><br>SAP certifications in relevant technologies (e.g.,SAP Certified Development Associate) are preferred but not mandatory<br><br>Skills and Attributes for Success . Proficient in ABAP,Object-Oriented ABAP,and BAdI implementations",Noida,Not disclosed,INR,0,0,true,0,0,0,10-17 Yrs,10,17,30 Days Ago,2026-07-24T12:35:04.864Z,1784896504864,jp,1,,,false,,,,,,,false,,,10:05 PM,https://www.naukri.com/job-listings-sap-btp-manager-ernst-young-llp-noida-10-to-17-years-240726929516,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1083,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929513,Manager - TAX - National - TAX - Other - TTT Consulting,EY,243080,294153,0,"agile,data analysis,business tax,business analysis,machine learning,data engineering,artificial intelligence,deep learning","<p><strong>The opportunity</strong>: Manager-National-TAX-TAX - Other - TTT Consulting - New Delhi</p><p><strong>National</strong> comprises of sector agnostic teams working across industries for a well rounded experience.</p><p><strong>TAX - Other - TTT Consulting</strong> :</p><p>Our globally coordinated tax professionals offer connected services across all tax disciplines to help the clients thrive in an era of rapid change. We combine our exceptional knowledge and experience with the people and technology platforms to equip clients in making better business decisions by bringing insights to the forefront. We help companies understand the tax policies and tax laws of governments around the world to plan and comply accordingly. Our teams leverage transformative technologies to deliver strategy and execution, from tax and regulatory obligations to operations and workforce management, to reduce risk and drive sustainable value.</p><p>We have competencies in Business Tax Services, Global Compliance and Reporting, Global Law, Indirect Tax, International Tax and Transaction Services.</p><b>Your key responsibilities</b><b>Technical Excellence</b><ul><li>Strong understanding of tax consulting principles and their application across client engagements. Ability to analyze tax-related issues and develop practical, compliant solutions. Experience in preparing, reviewing, and validating tax documentation with accuracy and attention to detail. Proficient in applying general consulting methods to support tax advisory and problem-solving activities. Capable of working on tax engagements with a structured approach to research, analysis, and execution.</li></ul><p><strong>Skills and attributes</strong></p><p><strong>To qualify for the role you must have</strong></p><p><strong>Qualification</strong></p><ul><li>Bachelor of Technology in Computer Science</li><li>Bachelor of Computer Applications</li><li>Master of Science in Data Science</li><li>Master of Computer Applications</li></ul><p><strong>Experience</strong></p><ul><li>Machine Learning (3+ years)</li><li>Data Analysis (2+ years)</li><li>Deep Learning (2+ years)</li><li>Data Engineering (4+ years)</li><li>Project Management (6+ years)</li><li>Product Management (4+ years)</li><li>Business Analysis (3+ years)</li><li>Software Architecture (6+ years)</li><li>Scrum Master (3+ years)</li><li>Artificial Intelligence (3+ years)</li><li>Natural Language Processing (2+ years)</li><li>Computer Vision (2+ years)</li></ul><p><strong>What we look for</strong></p><p>People with the ability to work in a collaborative manner to provide services across multiple client departments while following the commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions. We look for people who are agile, curious, mindful, and able to sustain positive energy, while being adaptable and creative in their approach.</p>",New Delhi,Not disclosed,INR,0,0,true,0,0,0,6-11 Yrs,6,11,30 Days Ago,2026-07-24T12:35:02.701Z,1784896502701,jp,1,,,false,,,,,,,false,,,10:05 PM,https://www.naukri.com/job-listings-manager-tax-national-tax-other-ttt-consulting-ernst-young-llp-new-delhi-6-to-11-years-240726929513,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1084,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929498,SAP Data Functional Architect - PP - Manager,EY,243080,294153,0,"accounting,finance and accounting,ai,adm,data architecture,data mapping,data migration,capital markets","Ideally,Youll Also Have . SAP S / 4HANA or Data Migration certifications. Syniti or SAP BODS certification. <br><br>Skills and Attributes for Success . 14+ years of SAP experience with focus on data migration. Strong expertise in BODS,Syniti ADM / ADMM,LTMC. <br><br>Experience in ETL design,data mapping,and reconciliation. <br><br>Leadership mindset with global delivery experience",Noida,Not disclosed,INR,0,0,true,0,0,0,12-19 Yrs,12,19,30 Days Ago,2026-07-24T12:34:52.094Z,1784896492094,jp,1,,,false,,,,,,,false,,,10:04 PM,https://www.naukri.com/job-listings-sap-data-functional-architect-pp-manager-ernst-young-llp-noida-12-to-19-years-240726929498,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1083,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929489,SAP TRM - Senior Professional,EY,243080,294153,0,"accounting,business requirements,credit risk,customization,blueprinting,cash management,ai,business blueprint","<p><strong>Service line - Position Title:</strong> <strong> Consulting - SAP TRM Senior Consultant</strong></p><p>In this role, we are looking for an experienced<strong>SAP TRM Senior Consultant</strong> to join our growing SAP Finance team. As an SAP Treasury and Risk Management (TRM) Senior Consultant you will oversee the design, implementation, and optimization of SAP S/4HANA treasury solutions, focusing on cash management, transaction management, and risk analysis. They lead teams, manage stakeholder relationships, map business processes, and ensure regulatory compliance for treasury operations.</p><p><strong>The Opportunity</strong></p><p>EY Consulting is a fast-moving, high-growth area with huge potential. We are currently recruiting for a Seniors to join our team. This team offers variety, challenge, responsibility and the opportunity to realize your leadership potential. Being a member of our Consulting team means you will specialize in a particular competency - Risk, Technology Consulting, or IT Risk & Assurance. Our Technology Consulting team is focused on helping clients improve operational efficiency and security, while also reducing costs and managing risk.</p><p><strong>Your Key Responsibilities</strong></p><ul><li>Conduct Business Blueprint design workshops to gather requirements and understand the client's business processes.</li><li>Lead end-to-end SAP TRM implementations, including Blueprinting, Configuration, and User Acceptance Testing (UAT)</li><li>Optimize cash management, liquidity planning, bank communication, and hedge accounting.</li><li>Utilize Market Risk Analyzer and Credit Risk Analyzer to mitigate financial risks.</li><li>Prepare functional gaps analysis by identifying areas where standard SAP S4 HANA TRM functionalities need enhancements or customization</li><li>Handle complex enhancements in TRM requirements, ensuring the solution aligns with the client's business requirements.</li><li>Provide guidance and support to end-users during testing, training, and post-go-live phases.</li><li>Completion of assigned tasks on time and regular status reporting to the senior manager.</li></ul><p><strong>Skills and attributes for success</strong></p><p><strong>Ideally, youll also</strong></p><ul><li>Youll build and nurture positive working relationships with teams and clients with the intention to exceed client expectations.</li><li>Collaborate with stakeholders to gather and analyse business requirements independently (Mandatory skill)</li><li>Ability to drive design workshops independently with the client (Mandatory skill)</li><li>Must be able to prepare the materials for the design workshops independently (Mandatory skill)</li><li>Must send out the Meeting Minutes of the Workshop post each workshop that he/she leads (Mandatory skill)</li><li>Followup on the action items from the workshops</li><li>Advanced knowledge and experience with SAP S4 HANA TRM Module.</li><li>Strong written and verbal communication, presentation, client service and technical writing skills, coupled with a strong interest in further developing and integrating enterprise domain knowledge with technology skills.</li></ul><p><strong>What we look for</strong></p><ul><li>Candidate must be a qualified CA / ICWA / MBA Finance/M. Com in a reputed institution with a sound industry/domain experience and SAP relevant experience between 3 to 7 years</li><li>Must have at least 2 end-to-end implementation experience and strong hands-on experience in SAP Treasury and Risk Management (TRM) module.</li><li>Proficiency in S/4HANA Finance with a focus on Treasury, Cash, and Liquidity Management</li><li>Experience in Cash Management, Bank Communication Management (BCM), and In-House Cash (IHC)</li><li>Good understanding of Credit Risk, financial instruments, and exposure management.</li><li>Familiarity and Hands on experience with SAP FICO concepts, including GL, AP, AR, and Asset Accounting.</li><li>Knowledge of integration with FI, CO, MM, and external banking systems.</li><li>Candidate should be capable to understand the existing Legacy as-is application & business set up and implement in SAP all the sub-modules of SAP treasury.</li><li>Should participate in BPP workshops, design & implement solutions in SAP.</li><li>Should provide architectural suggestions on set up and integration between existing SAP & non-SAP systems.</li><li>Should be able to lead a team of functional & technical consultants.</li><li>Should be able to draw up proposals & plans for the project.</li><li>SAP Certification in Treasury and Risk Management is preferable</li><li>Should be good in Communication both written and verbal</li></ul>",Noida,Not disclosed,INR,0,0,true,0,0,0,4-7 Yrs,4,7,30 Days Ago,2026-07-24T12:34:47.706Z,1784896487706,jp,1,,,false,,,,,,,false,,,10:04 PM,https://www.naukri.com/job-listings-sap-trm-senior-professional-ernst-young-llp-noida-4-to-7-years-240726929489,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1082,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929460,Oracle Cloud Technical - PaaS - OIC - Senior Professional,EY,243080,294153,0,"accounting,bi publisher,erp,business requirements,ai,cmmi,concurrent,data migration","<b>Oracle Tech Architecture & Middleware - Oracle Cloud Technical -PaaS/ OIC_Senior</b><p>We are looking for an OracleIntegrationCloud Technical Consultant with total experience of 3+ years who can understand business requirement and other technical specifications.</p><b>Your Key Responsibilities</b><ul><li>Ability to work with clients toidentifybusiness challenges and contribute to client deliverables</li><li>Technical Design,Identificationand Implementation of re-usable assets/components</li><li>Identification of root causes and providing necessary technical solution and implementation</li><li>Contribution to process review and improvement</li><li>DeliverPoCs, Mentoring team</li><li>Implement best practices, following development life cycle process</li></ul><b>Skills and attributes for success</b><ul><li>Should have experience building integration in OIC using REST/SOAP Services.</li><li>Should have experience building integrations in OIC,buildinganduploading FBDI Files to Oracle ERP Cloud</li><li>Hands-On Experience on data migration/integration methods i.e., SOAP and Rest Web Services, FBDI and ADFDI</li><li>Hands-On Experience on reporting tools such as OTBI, BI Publisher, SmartViewand FRS reports</li><li>Good Knowledge on building custom ESS jobs</li><li>Hands-on with development & unit testing of integration components & web services (SOAP/REST) using OIC</li><li>Technical requirements: OIC, Oracle Cloud ERP, BIP, VBCS (Optional), APEX</li><li>Good to have experience in any Database, SQL,PL/SQL, XSLT, SQL, PL/SQL</li><li>Oracle ERP and HCM integration delivery using Oracle Integration Cloud</li><li>Oracle ERP Cloud, Oracle Integration Cloud and Oracle E-Business support experience.</li><li>Willing to learn and work onnew technologies</li><li>Experience of having worked in a CMMI environment would be a plus</li><li>Should have the ability to collect requirements,buildhigh level design documents, low level design documents, and deployments documents.</li><li>Multi domainexpertiseand knowledge on other integration toolsisan advantage.</li><li>Knowledge on Agile scrum and waterfallmethodology</li><li>Strong communicationskills both written and verbal</li><li>Any Oracle Certification is an added key advantage.</li></ul><b>What we look for</b><ul><li>Must haveminimum3+ years of technical experience with at least 2 years in OracleIntegrationCloud(At least 2 End-to-End implementationsexperience)</li><li>Excellent Oracle technical skills with the ability to build complex OracleintegrationsusingOIC.</li><li>Experience building integration in OIC using REST/SOAP Services.</li><li>Experience building integrations in OIC,buildinganduploading FBDI Files to Oracle ERP Cloud</li><li>Must havegood experiencetranslating business requirements and design into technical solutions</li><li>Awareness ofVBCSwould be a plus</li><li>Knowledge of Oracle Interface tables in financial and procurement modules.</li><li>Ability to research, learn,troubleshootand support complex system customizations</li><li>Ability to multi-task and prioritize across concurrent workload may berequired.</li><li>Good Knowledge on building custom ESS jobs</li><li>Excellent communication skills, able to discuss technical & functional issues/solutions, in highly escalated situations, with executives, support & customer personnel.</li></ul>",Noida,Not disclosed,INR,0,0,true,0,0,0,5-9 Yrs,5,9,30 Days Ago,2026-07-24T12:34:27.485Z,1784896467485,jp,1,,,false,,,,,,,false,,,10:04 PM,https://www.naukri.com/job-listings-oracle-cloud-technical-paas-oic-senior-professional-ernst-young-llp-noida-5-to-9-years-240726929460,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1028,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929456,BTS - CTORS - GTRS Core - Manager,EY,243080,294153,0,"accountancy,business tax,crs,asset management,client delivery,ai,business development,capital markets","<b>The opportunity</b><p>As part of our Financial Services tax team, we'll look to you for delivering value to our clients by developing innovative and integrated solutions to meet their growing needs. Providing a full range of services to clients including strategy and planning solutions and ideas as well as compliance services. In our friendly, collaborative environment, you'll receive the support, formal training and coaching you need to progress quickly along the career path you choose.</p><b>Your key responsibilities</b><p>Starting from a solid International Tax, FATCA, CRS or QI technical knowledge base, you will interact with clients, lead and coach team members, assist partners & director in business development, create market visibility and ensure that projects are well managed. You will demonstrate a pro-active, client-oriented attitude, self-learning ability, team management and acumen of understanding client business.</p><ul><li>You will interface daily with superiors, peers and subordinates and clients in the Banking, Insurance and Asset Management sectors on issues relating to International Tax Transparency laws primarily focusing on FATCA / QI / CRS / Economic Substance.</li><li>Provide guidance and handling of FATCA / QI / CRS questions and issues relating to Singapore, Hong Kong, Australia and the Asia Pacific region.</li><li>Ability to do independent research and analysis on technical issues relating to FATCA/ QI/ CRS laws including the OECD.</li><li>Research and explain the impact of the regulations to our clients.</li><li>Preparing advise and recommendations for our clients based on deep tax technical and business knowledge and taking into account operational ease and risk mitigation concerns</li><li>Coordinate engagement teams schedules and deadlines</li><li>Coach staff members and share experience and knowledge with them.</li><li>Lead and manage client assignments to ensure accurate and timely client delivery as per EY standards.</li><li>Ensuring that all internal risk policies and compliances are adhered to.</li><li>Review self-certification forms, W-series FATCA forms, guide or perform FATCA/CRS registrations and annual reporting.</li><li>Monitor and assess the impact of tax reform/regulatory change impacting our clients.</li><li>Support our advisory teams in delivering solutions and insights on the FATCA / CRS / QI regulatory impact on structures.</li><li>Liaise with the Tax authorities of the APAC region to agree Tax positions or deal with regulatory audits and inquires.</li><li>You will be required to monitor tax and regulatory updates pertaining to tax transparency and prepare alerts that could be used for business development and client updates;</li><li>Work on technology related project relating to taxation matters;</li><li>Assist Partners and Directors in business development, client presentations etc;</li><li>You will be part of a team that prepares documentation including presentations and flow charts.</li><li>You will be involved in technical analysis, process improvement and respond to requests for proposals from clients also.</li></ul><b>Skills and attributes for success</b><ul><li>Ability to read and interpret regulations and commentaries</li><li>Ability to work in a fast-paced and changing environment</li><li>Excellent verbal and written communication skills</li><li>Detail oriented while multi-tasking</li><li>Possess initiative</li><li>Positive work attitude, team player with strong interpersonal skills</li><li>Teaming and team leadership</li></ul><b>To qualify for the role you must have</b><ul><li>A degree in Accountancy or related disciplines</li><li>A minimum of 9 years work experience in tax consulting in financial services sector. Experience must involve reading and interpretation of tax laws (preferably, FATCA, CRS and QI), understanding of clients business and requirements, application of the laws to the client and drafting of advice.</li><li>Positive work attitude, team player with strong interpersonal skills</li><li>Experience of team management and meeting stakeholders expectations.</li><li>Ability to work in a fast-paced and changing environment</li><li>Strong and motivated team player with ability to build effective relationships at all levels</li><li>Expertise in time management, and the ability to adapt to change under pressure</li><li>A highly collaborative approach to work</li></ul><b>Ideally, youll also have</b><ul><li>Strong analytical and problem-solving skills.</li></ul>",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,3-8 Yrs,3,8,30 Days Ago,2026-07-24T12:34:21.709Z,1784896461709,jp,1,,,false,,,,,,,false,,,10:04 PM,https://www.naukri.com/job-listings-bts-ctors-gtrs-core-manager-ernst-young-llp-bengaluru-3-to-8-years-240726929456,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1066,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
753,240726929454,SCT - LFO - BY WMS Funcational Professional,EY,243080,294153,0,"accounting,global delivery,finance and accounting,business requirements,inbound,client solutions,gap analysis,ai","<p><strong>EY-Advisory </strong><strong> BY WMS Senior Consultant (4yrs to 8yrs)</strong></p><p><strong>The opportunity</strong></p><p>Were seeking a Techno-Functional Senior Consultant with expertise in BY WMS to join our consulting team. This is a fantastic opportunity to be part of a leading firm whilst being instrumental in the growth of a new service offering.</p><p><strong>Your key responsibilities</strong></p><ul><li>Responsible for WMS modules with good functional / domain understanding and hands on experiences in configurations, training, knowledge transfer and documentations</li><li>Deliver high quality client solutions that meet and exceed client and EY expectations and are delivered on-time and on-budget.</li><li>Manage client solution delivery, including defining project approach, leading and motivating project teams, monitoring and managing project risks, managing client and EY key stakeholders, and successfully delivering client solutions.</li><li>Identifying new business opportunities, including building strong client relations, understanding client needs and EY solution offerings, communicating client opportunities to EY leadership, and helping develop client opportunities.</li></ul><p><strong>Skills and attributes for success</strong></p><ul><li>Gather Business requirements</li><li>Analyse requirements and Perform Fit-Gap Analysis</li><li>Design and Develop the requirements</li><li>Strong expertise in configurations and testing</li><li>Assist customer during UAT</li><li>Provide go-live support</li><li>Prepare and Review documentations</li><li>Prepare training guides and conduct User trainings</li><li>Know WMS tables/API and Infrastructure</li><li>Perform Roll-outs</li><li>Work on RCA and bug-fixes</li></ul><p><strong>To qualify for the role, you must have</strong></p><ul><li>Overall 4-8+ years of experiences with leadership role and responsibilities delivering projects in Supply Chain Management, Logistics domain.</li><li>Minimum 1-2 full life cycles implementation/roll-out experiences on JDA/BY Warehouse Management Solutions</li><li>Have knowledge on BY WMS Integrator</li><li>Have knowledge in MOCA</li><li>Have experience in Warehouse Labor Management (WLM)</li><li>Have strong experience with WMS configs, including slotting, parcel related setups, etc.</li><li>Knows how to troubleshoot and read trace files</li><li>Knows how to develop/create Page Builders, Labels and Reports</li><li>Active participation in:<ul><li>Gather Business requirements</li><li>Analyse requirements and Perform Fit-Gap Analysis</li><li>Design and Develop the requirements</li><li>Strong expertise in configurations and testing</li><li>Assist customer during UAT</li><li>Provide go-live support</li><li>Prepare training guides and conduct User trainings</li><li>Prepare and Review documentations</li><li>Know WMS tables/API and Infrastructure</li><li>Perform Roll-outs</li><li>Work on RCA and bug-fixes</li></ul></li><li>Experiences in the following WMS areas:<ul><li>Yard Management</li><li>Inbound Operations</li><li>Outbound Operations</li><li>Inventory Management</li><li>WMS Reports & Analytics</li></ul></li></ul><p><strong>Ideally, youll also have</strong></p><ul><li>Working experience with Onsite & Offshore delivery model environment is preferred.</li></ul>",Pune,Not disclosed,INR,0,0,true,0,0,0,4-7 Yrs,4,7,30 Days Ago,2026-07-24T12:34:21.022Z,1784896461022,jp,1,,,false,,,,,,,false,,,10:04 PM,https://www.naukri.com/job-listings-sct-lfo-by-wms-funcational-professional-ernst-young-llp-pune-4-to-7-years-240726929454,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15315,3.4,1083,false,true,,,,,6182,false,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif
