pageNumber,jobId,title,companyName,groupId,companyId,isTopGroup,tagsAndSkills,jobDescription,location,salaryLabel,currency,minimumSalary,maximumSalary,hideSalary,variablePercentage,minSalaryPerMonth,maxSalaryPerMonth,experienceText,minimumExperience,maximumExperience,footerPlaceholderLabel,createdDateISO,createdDateRaw,mode,board,vacancy,jobType,walkinJob,walkin_contactName,walkin_contactPhone,walkin_dailyTiming,walkin_venueAddress,walkin_startDate,walkin_endDate,companyApplyJob,companyApplyUrl,applyRedirectUrl,applyByTime,jdURL,staticUrl,ambitionBoxUrl,ambitionBoxReviewsCount,ambitionBoxRating,roleCategoryGid,todaysJob,jobAgentEligle,consultant,hiringFor,hideClientName,clientTitleString,brandedJDTemplateId,questionnaireIdPresent,exclusive,diversityTagText,logoPath
201,210826932359,Test Lead,Luxoft,1744734,3919162,0,"Agile,Istqb,Compliance,Ai,Devops,Cd Tools,Devops Practices,Docker","Proficiency in CI / CD tools and DevOps practices (e.g.,Jenkins,GitLab,Azure DevOps).  . Strong understanding of Agile,Scrum,and DevOps methodologies.  . ISTQB Advanced Level,Certified Test Manager,or equivalent certifications.  <br><br>Responsibilities . Should have strong experience on API automation and webservices testing (rest assured with java is must).","Mumbai, Pune, Chennai",Not disclosed,INR,0,0,true,0,0,0,10-15 Yrs,10,15,3 Days Ago,2026-08-21T12:40:09.211Z,1787316009211,jp,1,,,false,,,,,,,false,,,10:10 PM,https://www.naukri.com/job-listings-test-lead-luxoft-india-llp-mumbai-pune-chennai-10-to-15-years-210826932359,luxoft-jobs-careers-210236,https://www.ambitionbox.com/reviews/luxoft-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,868,3.6,1027,false,true,,,,,,false,,,https://img.naukimg.com/logo_images/groups/v1/1744734.gif
201,210826932354,Solution Engineer,BMC Software,95052,18166,0,"Administration,Cloud Operations,Automation,Azure,Cloud Engineer,Cloud Certifications,Ai,Automation Solutions","Cloud platforms such as AWS,Azure,GCP,or similar public cloud environments.  . Linux and Windows server administration.  . Kubernetes / Amazon EKS or equivalent container platform experience.  . GitHub administration,Git-based workflows,and DevOps practices.  . CI / CD pipelines,automation,and Infrastructure as Code concepts.  . <br><br>Preferred Qualifications",Pune,Not disclosed,INR,0,0,true,0,0,0,2-7 Yrs,2,7,3 Days Ago,2026-08-21T12:40:08.027Z,1787316008027,jp,1,,,false,,,,,,,false,,,10:10 PM,https://www.naukri.com/job-listings-solution-engineer-bmc-software-india-private-limited-pune-2-to-7-years-210826932354,bmc-jobs-careers-18166,https://www.ambitionbox.com/reviews/bmc-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,626,3.9,1026,false,true,,,,,9589,false,,,https://img.naukimg.com/logo_images/groups/v1/95052.gif
201,210826932346,OICS Professional,Capgemini,1288,7053,0,"Ai,Event-Driven Architecture,Erp,Api Design,Architecture,Apis,Json,Oracle Integration Cloud","Build and maintain real-time and batch integrations between Oracle Cloud applications and external systems.  . <br><br>Experience with SQL and databases (Oracle preferred).  . Understanding of security protocols including OAuth,JWT,SSL,and SSO.  . <br><br>Experience with Oracle SaaS applications (ERP,HCM,SCM,CX).  . .",Mumbai,Not disclosed,INR,0,0,true,0,0,0,2-4 Yrs,2,4,3 Days Ago,2026-08-21T12:40:04.766Z,1787316004766,jp,1,,,false,,,,,,,false,,,10:10 PM,https://www.naukri.com/job-listings-oics-professional-capgemini-technology-services-india-limited-mumbai-2-to-4-years-210826932346,capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,55714,3.6,1082,false,true,,,,,,false,,,https://img.naukimg.com/logo_images/groups/v1/1288.gif
201,210826932300,Principal Engineer (AI) For Database Technology,Wells Fargo,5239022,135571,0,"Ai,Aws Bedrock,Automation,Azure,Ai Strategy,Api Design,Architecture,Ai Solutions","Experience leading innovation initiatives,proof of concepts,technology incubations,hackathons,or AI transformation programs that move from experimentation to production adoption.  . Strong vendor management experience,including evaluating AI platforms,third-party tools,licensing models,commercial terms,platform fit,operational readiness,and long-term maintainability.",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,7-12 Yrs,7,12,3 Days Ago,2026-08-21T12:39:48.601Z,1787315988601,jp,1,,,false,,,,,,,true,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=210826932300&logstr=srprestapi,https://wd1.myworkdaysite.com/en-US/recruiting/wf/WellsFargoJobs/job/Bengaluru-India/Principal-Engineer--AI--for-Database-Technology_R-569029,10:09 PM,https://www.naukri.com/job-listings-principal-engineer-ai-for-database-technology-wells-fargo-international-solutions-private-ltd-bengaluru-7-to-12-years-210826932300,wells-fargo-jobs-careers-135571,https://www.ambitionbox.com/reviews/wells-fargo-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,9130,3.6,1025,false,false,,,,,6490,false,,,https://img.naukimg.com/logo_images/groups/v1/5239022.gif
201,210826932298,Business Operations Manager (Robotics),ABB,9400,6611,0,"Ai,Machine Automation,Automation,Compliance,Finance,Microsoft Office,Automotive,Communication And Interpersonal Skills","Qualifications for the role . Bachelors degree in electrical,Electronics,Mechanical Engineering,or a related discipline.  . Min 8 -15 Years of experience in Engineering and Project Management,with a proven track record of leading end-to-end project execution in industrial environments",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,8-13 Yrs,8,13,3 Days Ago,2026-08-21T12:39:47.518Z,1787315987518,jp,1,,,false,,,,,,,false,,,10:09 PM,https://www.naukri.com/job-listings-business-operations-manager-robotics-abb-india-limited-bengaluru-8-to-13-years-210826932298,abb-jobs-careers-95,https://www.ambitionbox.com/reviews/abb-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3548,4.0,1013,false,true,,,,,31000,false,,,https://img.naukimg.com/logo_images/groups/v1/9400.gif
201,210826932295,AI Architect,BMC Software,95052,18166,0,"Ai,Automation,Azure,Compliance,Langchain,Apis,Faiss,Anthropic","Required Skillset and Experience . 10+ years of professional software development experience,with significant time shipping B2B products used by external customers.  . Strong software engineering foundation with expert-level Python and experience designing production systems.  <br><br>Experience deploying and operating LLMs using AWS SageMaker,Vertex AI,or equivalent managed platforms",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,10-15 Yrs,10,15,3 Days Ago,2026-08-21T12:39:46.712Z,1787315986712,jp,1,,,false,,,,,,,false,,,10:09 PM,https://www.naukri.com/job-listings-ai-architect-bmc-software-india-private-limited-bengaluru-10-to-15-years-210826932295,bmc-jobs-careers-18166,https://www.ambitionbox.com/reviews/bmc-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,626,3.9,1028,false,true,,,,,9589,false,,,https://img.naukimg.com/logo_images/groups/v1/95052.gif
201,210826932271,"Staff Data Engineer (Java/Python, Scala, Spark, Hadoop)",Visa Consolidated Support Services India,12067093,3025442,0,"Ai,Airflow,Automation,Azure,Data Engineering,Ai Integration,Architecture,Compliance","<div> <span> <b>About Us</b> </span> <br />Visa is a world leader in payments technology, facilitating transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories, dedicated to uplifting everyone, everywhere by being the best way to pay and be paid.</div> <div> </div> <div>At Visa, you''ll have the opportunity to create impact at scale  tackling meaningful challenges, growing your skills and seeing your contributions impact lives around the world.</div> <div> </div> <div>Join Visa and do work that matters  to you, to your community, and to the world.  Progress starts with you.</div> <div> </div> <div> <span> <b>Job Description</b> </span> </div> <div> </div> <div>Staff Data Engineers are expert problem-solvers and builders who design, implement, and improve software applications and systems. In this role, engineers spend a significant portion of their time coding, working hands-on with code, data, and modern toolsincluding AI-assisted development, cloud services, and automation frameworksto deliver secure, scalable, and high-quality technology solutions that drive business outcomes in the fintech sector. They collaborate with cross-functional teams such as product managers, designers, data scientists, QA, operations, and compliance to translate business requirements into robust technical solutions, all while adhering to best practices, security standards, and regulatory requirements.<br /> <br />This is a hands-on role requiring both deep data engineering expertise and the ability to work across legacy modernization and new platform innovation. Youll collaborate closely with the Agentic Engineer, ML teams, and business stakeholders to enable AI-driven insights and intelligent data orchestration.</div> <div> </div> <div>Key Responsibilities:</div> <ul> <li> <span>Data Platform Modernization</span>: Implement the transition from SQL Server data warehouse to the next-generation Hadoop/Databricks platform, ensuring performance, reliability, and minimal business disruption. Develop hybrid data pipelines that bridge legacy and modern ecosystems, enabling near real-time data access for analytics and AI applications. Optimize existing SQL Server models (facts, dimensions, indexes, stored procedures) and design modern equivalents in Hadoop and Spark environments. Define long-term migration strategy, data partitioning, and retention policies aligned with Visas data governance standards.</li> <li> <span>Data Architecture Engineering</span>: Implement scalable, distributed data pipelines using Spark, Kafka, Airflow, and Delta Lake. Build robust ETL/ELT frameworks to process transactional, behavioral, and unstructured data at scale. Partner with the Agentic AI team to power RAG (Retrieval-Augmented Generation) pipelines, vector database integrations and LLM data provisioning. Lead proof-of-concept (POC) initiatives to evaluate and integrate new data engineering technologies.</li> <li> <span>Operational Excellence</span>: Provide guidance to junior Engineers to maintain existing SQL Serverbased data warehouses, including database performance tuning, replication, encryption, and high-availability (HA) solutions. Implement best practices in T-SQL development, schema design, and stored procedure optimization. Perform proactive performance analysis, troubleshooting, and resolution of production issues in SQL Server and Hadoop clusters. Collaborate with DBA and application teams to ensure uptime within SLAs and compliance with Visas data policies.</li> <li> <span>Security, Governance Compliance</span>: Enforce standards for data quality, lineage, and governance across both legacy and modern platforms. Ensure full compliance with Visas data privacy, encryption, and access control frameworks. Partner with InfoSec to embed data security principles into every phase of data lifecycle management.</li> <li> <span>Leadership Collaboration</span>: Mentor and coach junior data engineers, fostering an environment of technical excellence and innovation. Collaborate cross-functionally with product, ML, and platform engineering teams on architecture decisions and roadmap execution. <span>Serve as a bridge between legacy enterprise data teams and next-gen AI platform engineers, ensuring knowledge continuity and execution speed.</span> </li> </ul> <div> </div> <div> <span>Visa requires at least 3 days in office, expectations of these days will be confirmed by your Hiring Manager.</span> </div> <div> </div> <div> <span> <b>Qualifications</b> </span> </div> <div> </div> <div>Basic Qualifications:</div> <ul> <li>Bachelors or Masters degree in Computer Science, Data Engineering, or related field.</li> <li>8+ years of hands-on data engineering experience, including enterprise-scale data warehousing and pipeline design.</li> <li>Proven success supporting and modernizing SQL Serverbased data warehouses in high-SLA environments.</li> <li>Production-level experience architecting Hadoop, Spark, and Databricks data pipelines.</li> <li>Expertise in ETL/ELT frameworks, data modeling, and schema design for analytical and operational use cases.</li> <li>Strong programming proficiency in Python, Java, or Scala.</li> <li>Hands-on experience with AWS or Azure (Glue, Synapse, Redshift, Delta Lake, S3).</li> <li>Familiarity with Kafka, Airflow, Kubernetes, and containerized data services.</li> <li>Understanding of RAG pipelines, vector databases, and AI data flows.</li> <li>Experience designing data pipelines and APIs compatible with Model Context Protocol (MCP)-based agent frameworks, enabling seamless integration between AI agents, data services, and enterprise APIs</li> <li>Strong SQL optimization, debugging, and production troubleshooting experience.</li> </ul> <div> </div> <div>Preferred Qualifications:</div> <ul> <li>Experience developing data warehouse migration or modernization from SQL Server to Hadoop/Spark ecosystems.</li> <li>Deep understanding of data lineage, metadata management, and governance frameworks (e.g., Atlas, Great Expectations).</li> <li>Familiarity with LangChain, LangGraph, and MCP for integrating AI agents with data systems.</li> <li>Strong ability to balance innovation and stability across coexisting legacy and modern data architectures.</li> <li>Proven track record mentoring engineers and collaborating across global teams.</li> </ul> <div> </div> <div>Leadership Attributes:</div> <ul> <li>Go-Getter: Executes decisively and thrives in complex, hybrid data environments.</li> <li>Builder: Hands-on developer who delivers scalable, production-grade data systems.</li> <li>Hustler: Operates with urgency and accountability across multiple technology stacks.</li> <li>Entrepreneurial: Drives innovation in data architecture and modernization.</li> <li>True North: Leads with integrity and alignment to Visas mission and long-term data strategy.</li> <li>Lead by Example: Sets high standards of excellence and transparency.</li> <li>Execute with Excellence: Ensures reliability, performance, and operational maturity across all data systems.</li> </ul> <div> </div> <div>Tech Stack Snapshot:</div> <ul> <li>Languages: Python, Java, Scala, SQL, T-SQL</li> <li>Data Systems: SQL Server, Hadoop, Spark, Databricks, Delta Lake, Snowflake</li> <li>Pipelines: Kafka, Airflow, Glue, Azure Data Factory</li> <li>AI Integration: LangChain, LangGraph</li> <li>Cloud Platforms: AWS, Azure</li> <li>Infra: Docker, Kubernetes, Terraform, Jenkins</li> <li>Governance: Great Expectations, Atlas, Data Privacy Encryption Frameworks</li> </ul> <div> </div> <div> <span> <b>Visa is an EEO Employer</b> </span> </div> <div>Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.</div> <div> </div>",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,8-13 Yrs,8,13,3 Days Ago,2026-08-21T12:39:36.059Z,1787315976059,jp,1,,,false,,,,,,,true,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=210826932271&logstr=srprestapi,https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Staff-Data-Engineer--8-10-years--exp---Java-Python--Scala--Spark--Hadoop-_REF087588W,10:09 PM,https://www.naukri.com/job-listings-staff-data-engineer-java-python-scala-spark-hadoop-visa-consolidated-support-services-india-pvt-ltd-bengaluru-8-to-13-years-210826932271,visa-consolidated-support-services-india-jobs-careers-3025442,https://www.ambitionbox.com/reviews/visa-consolidated-support-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,22,3.5,1028,false,false,,,,,,false,,,https://img.naukimg.com/logo_images/groups/v1/12067093.gif
201,210826932251,Control M - Technical Trainer,BMC Software,95052,18166,0,"Administration,Content Creation,Automation,Azure,Customer Success,Architecture,Apis,Ai","The Senior Technical Instructor leads the development of high-impact learning programs,influences certification and enablement strategies,and contributes directly to customer adoption,operational efficiency,and time-to-value outcomes<br><br>We want to attract talents from diverse backgrounds and experience to ensure we face the world together with the best ideas!",Pune,Not disclosed,INR,0,0,true,0,0,0,5-10 Yrs,5,10,3 Days Ago,2026-08-21T12:39:29.056Z,1787315969056,jp,1,,,false,,,,,,,false,,,10:09 PM,https://www.naukri.com/job-listings-control-m-technical-trainer-bmc-software-india-private-limited-pune-5-to-10-years-210826932251,bmc-jobs-careers-18166,https://www.ambitionbox.com/reviews/bmc-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,626,3.9,1160,false,true,,,,,9589,false,,,https://img.naukimg.com/logo_images/groups/v1/95052.gif
201,210826932246,"Sr Product Operations Manager, GDX",Uber,1271402,2066146,0,"Ai,Change Management,Engineering Leadership,Automation,Compliance,Legal,Machine Learning,Analytics","The Global Digital Experience team at Uber is responsible for building and scaling enterprise-grade platforms products that power operations globally<br><br>Experience with AI,GenAI,machine learning models,automation,decision engines,or model-enabled workflows in scaled operational or platform environments.  <br><br>Preferred Qualifications .",Bengaluru,Not disclosed,INR,0,0,true,0,0,0,6-11 Yrs,6,11,3 Days Ago,2026-08-21T12:39:27.797Z,1787315967797,jp,1,,,false,,,,,,,false,,,10:09 PM,https://www.naukri.com/job-listings-sr-product-operations-manager-gdx-uber-india-research-and-development-private-limited-bengaluru-6-to-11-years-210826932246,uber-jobs-careers-1724396,https://www.ambitionbox.com/reviews/uber-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1082,4.0,1013,false,true,,,,,,false,,,https://img.naukimg.com/logo_images/groups/v1/1271402.gif
201,210826932238,MDM Professional,Capgemini,1288,7053,0,"Ai,Java,Laboratory Informatics,Compliance,Customization,Data Structures,Digital Transformation,Chemical Engineering","In this role,you will: . Configure and maintain Master Data Management (MDM) processes within LabVantage LIMS environments.  . Support LabVantage LIMS configuration and customization activities based on business requirements.  . Analyze and optimize laboratory workflows,master data structures,and system configurations.",Navi Mumbai,Not disclosed,INR,0,0,true,0,0,0,3-7 Yrs,3,7,3 Days Ago,2026-08-21T12:39:25.225Z,1787315965225,jp,1,,,false,,,,,,,false,,,10:09 PM,https://www.naukri.com/job-listings-mdm-professional-capgemini-technology-services-india-limited-navi-mumbai-3-to-7-years-210826932238,capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,55714,3.6,1028,false,true,,,,,,false,,,https://img.naukimg.com/logo_images/groups/v1/1288.gif
